pop,sex,wt,sl,spot
HN,M,52.30,115.9,1
6T,F,40.10,106.6,0
CKAN,M,37.10,98.0,1
CS,F,10.50,75.9,0
HS,F,6.10,66.3,0
BP,M,3.80,52.9,0
HS,F,7.50,65.4,0
CKAN,M,9.24,63.0,0
6T,F,33.90,108.5,0
BF,M,16.10,84.4,0
BP,M,4.10,53.6,0
FL,M,26.30,93.6,1
UC,M,10.00,75.4,1
6T,F,34.10,108.4,0
BF,F,20.70,115.6,1
BROD,M,23.05,79.0,1
BSS,F,2.90,48.5,0
LC,F,2.90,53.9,0
UC,F,13.70,88.2,0
UC,M,16.90,93.0,1
6T,F,14.90,77.3,0
LC,F,3.90,59.3,0
6T,F,22.20,95.8,0
6T,M,10.70,73.3,0
FL,M,25.70,95.8,1
BF,F,8.70,67.2,0
6T,F,12.00,76.5,0
BP,M,18.10,85.6,1
CS,M,2.00,47.8,0
FL,M,14.50,80.2,1
CKAN,M,46.82,106.0,1
BP,F,2.80,49.6,0
HS,F,6.30,62.1,0
LC,M,4.30,60.4,0
CS,M,2.80,52.6,0
6T,F,34.80,109.8,0
UC,M,6.20,66.6,1
6T,M,10.60,74.2,0
LC,F,4.10,58.0,1
CKL,M,10.60,73.1,1
UC,M,10.20,80.6,1
UC,M,10.10,78.1,1
UC,M,7.70,71.2,0
LC,F,7.90,77.2,0
BF,F,7.10,61.9,0
FL,F,3.50,49.8,0
LC,F,5.20,63.7,0
BSS,F,1.00,38.1,0
6T,F,11.30,76.1,0
BROD,M,27.20,87.0,1
HS,M,9.60,72.7,1
BP,M,6.20,59.1,0
BP,F,2.70,48.0,0
BF,M,12.40,73.4,1
BROD,M,37.24,95.0,0
HN,F,57.90,127.1,1
HS,M,8.60,58.3,1
BF,M,67.30,123.9,1
BSS,M,4.40,59.3,0
UC,M,2.10,51.9,0
BF,M,13.00,80.1,1
BP,F,4.50,56.5,0
6T,M,40.20,111.6,0
LC,M,1.50,45.1,0
CKL,F,16.00,81.0,0
HN,M,53.70,124.2,1
6T,F,45.50,114.6,1
CS,M,17.80,95.5,0
LC,F,4.00,59.9,0
